ID1,timepoint,time,datetime,well,sample,OD750
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B03,Sample X27,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B04,Sample X28,0.134
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B05,Sample X29,0.134
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B06,Sample X30,0.118
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B07,Sample X31,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B08,Sample X32,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B09,Sample X33,0.133
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B10,Sample X34,0.134
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B11,Sample X35,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B12,Sample X36,0.151
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B13,Sample X37,0.140
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B14,Sample X38,0.130
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B15,Sample X39,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B16,Sample X40,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B17,Sample X41,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B18,Sample X42,0.134
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B19,Sample X43,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B20,Sample X44,0.147
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B21,Sample X45,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B22,Sample X46,0.146
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B23,Sample X47,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B24,Sample X48,0.031
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C01,Sample X49,0.035
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C02,Sample X50,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C03,Sample X51,0.129
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C04,Sample X52,0.130
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C05,Sample X53,0.134
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C06,Sample X54,0.122
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C07,Sample X55,0.122
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C08,Sample X56,0.123
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C09,Sample X57,0.125
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C10,Sample X58,0.138
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C11,Sample X59,0.127
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C12,Sample X60,0.119
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C13,Sample X61,0.129
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C14,Sample X62,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C15,Sample X63,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C16,Sample X64,0.133
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C17,Sample X65,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C18,Sample X66,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C19,Sample X67,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C20,Sample X68,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C21,Sample X69,0.123
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C22,Sample X70,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C23,Sample X71,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,C24,Sample X72,0.043
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D01,Sample X73,0.049
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D02,Sample X74,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D03,Sample X75,0.125
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D04,Sample X76,0.133
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D05,Sample X77,0.132
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D06,Sample X78,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D07,Sample X79,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D08,Sample X80,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D09,Sample X81,0.129
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D10,Sample X82,0.155
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D11,Sample X83,0.125
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D12,Sample X84,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D13,Sample X85,0.138
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D14,Sample X86,0.128
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D15,Sample X87,0.126
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D16,Sample X88,0.158
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D17,Sample X89,0.138
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D18,Sample X90,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D19,Sample X91,0.141
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D20,Sample X92,0.140
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D21,Sample X93,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D22,Sample X94,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D23,Sample X95,0.129
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,D24,Sample X96,0.032
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E01,Sample X97,0.033
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E02,Sample X98,0.134
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E03,Sample X99,0.129
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E04,Sample X100,0.124
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E05,Sample X101,0.126
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E06,Sample X102,0.123
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E07,Sample X103,0.123
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E08,Sample X104,0.127
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E09,Sample X105,0.128
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E10,Sample X106,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E11,Sample X107,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E12,Sample X108,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E13,Sample X109,0.125
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E14,Sample X110,0.132
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E15,Sample X111,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E16,Sample X112,0.132
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E17,Sample X113,0.133
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E18,Sample X114,0.128
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E19,Sample X115,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E20,Sample X116,0.133
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E21,Sample X117,0.130
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E22,Sample X118,0.138
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E23,Sample X119,0.190
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,E24,Sample X120,0.051
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F01,Sample X121,0.040
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F02,Sample X122,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F03,Sample X123,0.129
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F04,Sample X124,0.126
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F05,Sample X125,0.141
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F06,Sample X126,0.125
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F07,Sample X127,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F08,Sample X128,0.147
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F09,Sample X129,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F10,Sample X130,0.148
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F11,Sample X131,0.154
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F12,Sample X132,0.150
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F13,Sample X133,0.154
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F14,Sample X134,0.133
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F15,Sample X135,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F16,Sample X136,0.147
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F17,Sample X137,0.154
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F18,Sample X138,0.146
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F19,Sample X139,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F20,Sample X140,0.152
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F21,Sample X141,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F22,Sample X142,0.147
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F23,Sample X143,0.130
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,F24,Sample X144,0.028
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G01,Sample X145,0.040
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G02,Sample X146,0.167
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G03,Sample X147,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G04,Sample X148,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G05,Sample X149,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G06,Sample X150,0.140
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G07,Sample X151,0.132
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G08,Sample X152,0.134
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G09,Sample X153,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G10,Sample X154,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G11,Sample X155,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G12,Sample X156,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G13,Sample X157,0.153
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G14,Sample X158,0.153
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G15,Sample X159,0.151
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G16,Sample X160,0.138
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G17,Sample X161,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G18,Sample X162,0.146
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G19,Sample X163,0.152
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G20,Sample X164,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G21,Sample X165,0.146
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G22,Sample X166,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G23,Sample X167,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,G24,Sample X168,0.065
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H01,Sample X169,0.045
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H02,Sample X170,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H03,Sample X171,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H04,Sample X172,0.147
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H05,Sample X173,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H06,Sample X174,0.166
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H07,Sample X175,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H08,Sample X176,0.178
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H09,Sample X177,0.152
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H10,Sample X178,0.160
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H11,Sample X179,0.153
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H12,Sample X180,0.140
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H13,Sample X181,0.156
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H14,Sample X182,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H15,Sample X183,0.150
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H16,Sample X184,0.145
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H17,Sample X185,0.168
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H18,Sample X186,0.152
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H19,Sample X187,0.190
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H20,Sample X188,0.162
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H21,Sample X189,0.156
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H22,Sample X190,0.146
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H23,Sample X191,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,H24,Sample X192,0.030
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I01,Sample X193,0.045
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I02,Sample X194,0.138
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I03,Sample X195,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I04,Sample X196,0.148
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I05,Sample X197,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I06,Sample X198,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I07,Sample X199,0.149
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I08,Sample X200,0.140
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I09,Sample X201,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I10,Sample X202,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I11,Sample X203,0.146
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I12,Sample X204,0.158
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I13,Sample X205,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I14,Sample X206,0.141
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I15,Sample X207,0.161
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I16,Sample X208,0.148
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I17,Sample X209,0.145
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I18,Sample X210,0.149
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I19,Sample X211,0.151
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I20,Sample X212,0.151
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I21,Sample X213,0.158
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I22,Sample X214,0.163
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I23,Sample X215,0.179
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,I24,Sample X216,0.147
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J01,Sample X217,0.037
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J02,Sample X218,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J03,Sample X219,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J04,Sample X220,0.155
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J05,Sample X221,0.156
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J06,Sample X222,0.150
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J07,Sample X223,0.154
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J08,Sample X224,0.168
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J09,Sample X225,0.159
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J10,Sample X226,0.163
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J11,Sample X227,0.155
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J12,Sample X228,0.170
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J13,Sample X229,0.147
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J14,Sample X230,0.153
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J15,Sample X231,0.203
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J16,Sample X232,0.165
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J17,Sample X233,0.168
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J18,Sample X234,0.151
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J19,Sample X235,0.157
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J20,Sample X236,0.214
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J21,Sample X237,0.182
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J22,Sample X238,0.211
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J23,Sample X239,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,J24,Sample X240,0.040
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K01,Sample X241,0.036
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K02,Sample X242,0.128
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K03,Sample X243,0.133
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K04,Sample X244,0.148
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K05,Sample X245,0.140
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K06,Sample X246,0.132
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K07,Sample X247,0.146
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K08,Sample X248,0.153
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K09,Sample X249,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K10,Sample X250,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K11,Sample X251,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K12,Sample X252,0.145
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K13,Sample X253,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K14,Sample X254,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K15,Sample X255,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K16,Sample X256,0.145
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K17,Sample X257,0.145
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K18,Sample X258,0.149
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K19,Sample X259,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K20,Sample X260,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K21,Sample X261,0.135
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K22,Sample X262,0.148
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K23,Sample X263,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,K24,Sample X264,0.043
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,L01,Sample X265,0.042
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,L02,Sample X266,0.145
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,L03,Sample X267,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,L04,Sample X268,0.142
