measurement_ID,plate_ID,timepoint,wavelength,well,value_ID,well_type,Compound,Concentration,OD
gradient_444,gradient,T0,444,B17,gradient_444.B17,Control,DMSO,5,0.319
gradient_444,gradient,T0,444,B18,gradient_444.B18,Experimental,PHENYLMERCURIC ACETATE,1.66666666666667,0.3295
gradient_444,gradient,T0,444,B19,gradient_444.B19,Experimental,Remerine HCl,1.66666666666667,0.3335
gradient_444,gradient,T0,444,B20,gradient_444.B20,Experimental,Riboflavine,5,0.3473
gradient_444,gradient,T0,444,B21,gradient_444.B21,Experimental,Bicuculline (+),3.33333333333333,0.3257
gradient_444,gradient,T0,444,B22,gradient_444.B22,Control,DMSO,5,0.3355
gradient_444,gradient,T0,444,B23,gradient_444.B23,Control,DMSO,5,0.3376
gradient_444,gradient,T0,444,B24,gradient_444.B24,NA,NA,NA,0.3561
gradient_444,gradient,T0,444,C01,gradient_444.C01,NA,NA,NA,0.3342
gradient_444,gradient,T0,444,C02,gradient_444.C02,Experimental,Tetraethylthiuram disulfide,3.33333333333333,0.3368
gradient_444,gradient,T0,444,C03,gradient_444.C03,Control,DMSO,5,0.3501
gradient_444,gradient,T0,444,C04,gradient_444.C04,Control,DMSO,5,0.3544
gradient_444,gradient,T0,444,C05,gradient_444.C05,Experimental,Pifithrin-mu,6.66666666666667,0.3471
gradient_444,gradient,T0,444,C06,gradient_444.C06,Experimental,Gliotoxin,1.66666666666667,0.3542
gradient_444,gradient,T0,444,C07,gradient_444.C07,Experimental,Riboflavine,3.33333333333333,0.3608
gradient_444,gradient,T0,444,C08,gradient_444.C08,Control,DMSO,5,0.3519
gradient_444,gradient,T0,444,C09,gradient_444.C09,Experimental,Tetraethylthiuram disulfide,5,0.3287
gradient_444,gradient,T0,444,C10,gradient_444.C10,Experimental,BICUCULLINE (+),1.66666666666667,0.3329
gradient_444,gradient,T0,444,C11,gradient_444.C11,Control,DMSO,5,0.3195
gradient_444,gradient,T0,444,C12,gradient_444.C12,Experimental,HYDRASTININE HYDROCHLORIDE,1.66666666666667,0.3175
gradient_444,gradient,T0,444,C13,gradient_444.C13,Control,DMSO,5,0.3249
gradient_444,gradient,T0,444,C14,gradient_444.C14,Experimental,WB 64,5,0.3349
gradient_444,gradient,T0,444,C15,gradient_444.C15,Control,DMSO,5,0.3152
gradient_444,gradient,T0,444,C16,gradient_444.C16,Experimental,Tetraethylthiuram disulfide,6.66666666666667,0.3527
gradient_444,gradient,T0,444,C17,gradient_444.C17,Experimental,HYDRASTININE HYDROCHLORIDE,6.66666666666667,0.3218
gradient_444,gradient,T0,444,C18,gradient_444.C18,Control,DMSO,5,0.3401
gradient_444,gradient,T0,444,C19,gradient_444.C19,Control,DMSO,5,0.3343
gradient_444,gradient,T0,444,C20,gradient_444.C20,Experimental,METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE,3.33333333333333,0.3477
gradient_444,gradient,T0,444,C21,gradient_444.C21,Control,DMSO,5,0.3382
gradient_444,gradient,T0,444,C22,gradient_444.C22,Control,DMSO,5,0.3308
gradient_444,gradient,T0,444,C23,gradient_444.C23,Experimental,GOSSYPETIN,6.66666666666667,0.3423
gradient_444,gradient,T0,444,C24,gradient_444.C24,NA,NA,NA,0.3239
gradient_444,gradient,T0,444,D01,gradient_444.D01,NA,NA,NA,0.3187
gradient_444,gradient,T0,444,D02,gradient_444.D02,Control,DMSO,5,0.3295
gradient_444,gradient,T0,444,D03,gradient_444.D03,Control,DMSO,5,0.3243
gradient_444,gradient,T0,444,D04,gradient_444.D04,Control,DMSO,5,0.3335
gradient_444,gradient,T0,444,D05,gradient_444.D05,Control,DMSO,5,0.3275
gradient_444,gradient,T0,444,D06,gradient_444.D06,Control,DMSO,5,0.3472
gradient_444,gradient,T0,444,D07,gradient_444.D07,Control,DMSO,5,0.3476
gradient_444,gradient,T0,444,D08,gradient_444.D08,Control,DMSO,5,0.3428
gradient_444,gradient,T0,444,D09,gradient_444.D09,Experimental,GOSSYPETIN,3.33333333333333,0.3436
gradient_444,gradient,T0,444,D10,gradient_444.D10,Control,DMSO,5,0.3351
gradient_444,gradient,T0,444,D11,gradient_444.D11,Experimental,Hymecromone,6.66666666666667,0.3256
gradient_444,gradient,T0,444,D12,gradient_444.D12,Experimental,Gliotoxin,6.66666666666667,0.3421
gradient_444,gradient,T0,444,D13,gradient_444.D13,Experimental,Tunicamycin B,3.33333333333333,0.3366
gradient_444,gradient,T0,444,D14,gradient_444.D14,Control,DMSO,5,0.3316
gradient_444,gradient,T0,444,D15,gradient_444.D15,Control,DMSO,5,0.3287
gradient_444,gradient,T0,444,D16,gradient_444.D16,Control,DMSO,5,0.3577
gradient_444,gradient,T0,444,D17,gradient_444.D17,Control,DMSO,5,0.3314
gradient_444,gradient,T0,444,D18,gradient_444.D18,Control,DMSO,5,0.3276
gradient_444,gradient,T0,444,D19,gradient_444.D19,Experimental,NAFCILLIN SODIUM,6.66666666666667,0.3239
gradient_444,gradient,T0,444,D20,gradient_444.D20,Control,DMSO,5,0.3322
gradient_444,gradient,T0,444,D21,gradient_444.D21,Control,DMSO,5,0.3194
gradient_444,gradient,T0,444,D22,gradient_444.D22,Control,DMSO,5,0.3385
gradient_444,gradient,T0,444,D23,gradient_444.D23,Experimental,NAFCILLIN SODIUM,5,0.3389
gradient_444,gradient,T0,444,D24,gradient_444.D24,NA,NA,NA,0.334
gradient_444,gradient,T0,444,E01,gradient_444.E01,NA,NA,NA,0.3438
gradient_444,gradient,T0,444,E02,gradient_444.E02,Control,DMSO,5,0.3298
gradient_444,gradient,T0,444,E03,gradient_444.E03,Control,DMSO,5,0.3583
gradient_444,gradient,T0,444,E04,gradient_444.E04,Control,DMSO,5,0.3572
gradient_444,gradient,T0,444,E05,gradient_444.E05,Control,DMSO,5,0.3618
gradient_444,gradient,T0,444,E06,gradient_444.E06,Control,DMSO,5,0.3443
gradient_444,gradient,T0,444,E07,gradient_444.E07,Control,DMSO,5,0.3638
gradient_444,gradient,T0,444,E08,gradient_444.E08,Control,DMSO,5,0.3691
gradient_444,gradient,T0,444,E09,gradient_444.E09,Control,DMSO,5,0.3627
gradient_444,gradient,T0,444,E10,gradient_444.E10,Experimental,WB 64,6.66666666666667,0.3554
gradient_444,gradient,T0,444,E11,gradient_444.E11,Control,DMSO,5,0.35
gradient_444,gradient,T0,444,E12,gradient_444.E12,Control,DMSO,5,0.3805
gradient_444,gradient,T0,444,E13,gradient_444.E13,Control,DMSO,5,0.3269
gradient_444,gradient,T0,444,E14,gradient_444.E14,Control,DMSO,5,0.3348
gradient_444,gradient,T0,444,E15,gradient_444.E15,Control,DMSO,5,0.3366
gradient_444,gradient,T0,444,E16,gradient_444.E16,Experimental,BICUCULLINE (+),5,0.3701
gradient_444,gradient,T0,444,E17,gradient_444.E17,Experimental,PUERARIN,5,0.377
gradient_444,gradient,T0,444,E18,gradient_444.E18,Control,DMSO,5,0.3278
gradient_444,gradient,T0,444,E19,gradient_444.E19,Control,DMSO,5,0.3257
gradient_444,gradient,T0,444,E20,gradient_444.E20,Control,DMSO,5,0.3368
gradient_444,gradient,T0,444,E21,gradient_444.E21,Control,DMSO,5,0.334
gradient_444,gradient,T0,444,E22,gradient_444.E22,Control,DMSO,5,0.3334
gradient_444,gradient,T0,444,E23,gradient_444.E23,Control,DMSO,5,0.3597
gradient_444,gradient,T0,444,E24,gradient_444.E24,NA,NA,NA,0.3348
gradient_444,gradient,T0,444,F01,gradient_444.F01,NA,NA,NA,0.3272
gradient_444,gradient,T0,444,F02,gradient_444.F02,Control,DMSO,5,0.3302
gradient_444,gradient,T0,444,F03,gradient_444.F03,Control,DMSO,5,0.3233
gradient_444,gradient,T0,444,F04,gradient_444.F04,Experimental,Disulfiram,1.66666666666667,0.3309
gradient_444,gradient,T0,444,F05,gradient_444.F05,Control,DMSO,5,0.3296
gradient_444,gradient,T0,444,F06,gradient_444.F06,Control,DMSO,5,0.3432
gradient_444,gradient,T0,444,F07,gradient_444.F07,Control,DMSO,5,0.3494
gradient_444,gradient,T0,444,F08,gradient_444.F08,Control,DMSO,5,0.3533
gradient_444,gradient,T0,444,F09,gradient_444.F09,Experimental,Pifithrin-mu,1.66666666666667,0.3409
gradient_444,gradient,T0,444,F10,gradient_444.F10,Control,DMSO,5,0.3396
gradient_444,gradient,T0,444,F11,gradient_444.F11,Experimental,Hydrastinine hydrochloride,5,0.3305
gradient_444,gradient,T0,444,F12,gradient_444.F12,Control,DMSO,5,0.3248
gradient_444,gradient,T0,444,F13,gradient_444.F13,Control,DMSO,5,0.3486
gradient_444,gradient,T0,444,F14,gradient_444.F14,Control,DMSO,5,0.3429
gradient_444,gradient,T0,444,F15,gradient_444.F15,Experimental,NAFCILLIN SODIUM,3.33333333333333,0.3473
gradient_444,gradient,T0,444,F16,gradient_444.F16,Control,DMSO,5,0.3434
gradient_444,gradient,T0,444,F17,gradient_444.F17,Control,DMSO,5,0.3392
gradient_444,gradient,T0,444,F18,gradient_444.F18,Control,DMSO,5,0.3412
gradient_444,gradient,T0,444,F19,gradient_444.F19,Control,DMSO,5,0.3413
gradient_444,gradient,T0,444,F20,gradient_444.F20,Control,DMSO,5,0.3411
gradient_444,gradient,T0,444,F21,gradient_444.F21,Experimental,BEPHENIUM HYDROXYNAPTHOATE,6.66666666666667,0.3451
gradient_444,gradient,T0,444,F22,gradient_444.F22,Experimental,DL-alpha-Methyl-p-tyrosine,3.33333333333333,0.3594
gradient_444,gradient,T0,444,F23,gradient_444.F23,Control,DMSO,5,0.3447
gradient_444,gradient,T0,444,F24,gradient_444.F24,NA,NA,NA,0.3487
gradient_444,gradient,T0,444,G01,gradient_444.G01,NA,NA,NA,0.3466
gradient_444,gradient,T0,444,G02,gradient_444.G02,Control,DMSO,5,0.3539
gradient_444,gradient,T0,444,G03,gradient_444.G03,Experimental,METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE,6.66666666666667,0.38
gradient_444,gradient,T0,444,G04,gradient_444.G04,Control,DMSO,5,0.3562
gradient_444,gradient,T0,444,G05,gradient_444.G05,Control,DMSO,5,0.371
gradient_444,gradient,T0,444,G06,gradient_444.G06,Control,DMSO,5,0.3341
gradient_444,gradient,T0,444,G07,gradient_444.G07,Control,DMSO,5,0.3837
gradient_444,gradient,T0,444,G08,gradient_444.G08,Control,DMSO,5,0.3476
gradient_444,gradient,T0,444,G09,gradient_444.G09,Control,DMSO,5,0.3853
gradient_444,gradient,T0,444,G10,gradient_444.G10,Experimental,GENTIAN VIOLET,5,0.3838
gradient_444,gradient,T0,444,G11,gradient_444.G11,Control,DMSO,5,0.3695
gradient_444,gradient,T0,444,G12,gradient_444.G12,Control,DMSO,5,0.3775
gradient_444,gradient,T0,444,G13,gradient_444.G13,Experimental,COUMOPHOS,1.66666666666667,0.3767
gradient_444,gradient,T0,444,G14,gradient_444.G14,Control,DMSO,5,0.3586
gradient_444,gradient,T0,444,G15,gradient_444.G15,Experimental,BICUCULLINE(-) METHIODIDE,3.33333333333333,0.3322
gradient_444,gradient,T0,444,G16,gradient_444.G16,Control,DMSO,5,0.3636
gradient_444,gradient,T0,444,G17,gradient_444.G17,Control,DMSO,5,0.3472
gradient_444,gradient,T0,444,G18,gradient_444.G18,Experimental,BEPHENIUM HYDROXYNAPTHOATE,1.66666666666667,0.3552
gradient_444,gradient,T0,444,G19,gradient_444.G19,Control,DMSO,5,0.3538
gradient_444,gradient,T0,444,G20,gradient_444.G20,Control,DMSO,5,0.3373
gradient_444,gradient,T0,444,G21,gradient_444.G21,Control,DMSO,5,0.3688
gradient_444,gradient,T0,444,G22,gradient_444.G22,Experimental,PHENYLMERCURIC ACETATE,6.66666666666667,0.3587
gradient_444,gradient,T0,444,G23,gradient_444.G23,Control,DMSO,5,0.3507
gradient_444,gradient,T0,444,G24,gradient_444.G24,NA,NA,NA,0.357
gradient_444,gradient,T0,444,H01,gradient_444.H01,NA,NA,NA,0.345
gradient_444,gradient,T0,444,H02,gradient_444.H02,Control,DMSO,5,0.3432
gradient_444,gradient,T0,444,H03,gradient_444.H03,Control,DMSO,5,0.3377
gradient_444,gradient,T0,444,H04,gradient_444.H04,Control,DMSO,5,0.344
gradient_444,gradient,T0,444,H05,gradient_444.H05,Control,DMSO,5,0.3385
gradient_444,gradient,T0,444,H06,gradient_444.H06,Control,DMSO,5,0.3451
gradient_444,gradient,T0,444,H07,gradient_444.H07,Control,DMSO,5,0.3436
gradient_444,gradient,T0,444,H08,gradient_444.H08,Control,DMSO,5,0.349
gradient_444,gradient,T0,444,H09,gradient_444.H09,Control,DMSO,5,0.3384
gradient_444,gradient,T0,444,H10,gradient_444.H10,Experimental,Hymecromone,1.66666666666667,0.3371
gradient_444,gradient,T0,444,H11,gradient_444.H11,Control,DMSO,5,0.3246
gradient_444,gradient,T0,444,H12,gradient_444.H12,Experimental,BICUCULLINE(-) METHIODIDE,1.66666666666667,0.3318
gradient_444,gradient,T0,444,H13,gradient_444.H13,Control,DMSO,5,0.3275
gradient_444,gradient,T0,444,H14,gradient_444.H14,Control,DMSO,5,0.3446
gradient_444,gradient,T0,444,H15,gradient_444.H15,Control,DMSO,5,0.3381
gradient_444,gradient,T0,444,H16,gradient_444.H16,Experimental,Hymecromone,5,0.345
gradient_444,gradient,T0,444,H17,gradient_444.H17,Experimental,Gliotoxin,5,0.329
gradient_444,gradient,T0,444,H18,gradient_444.H18,Control,DMSO,5,0.3365
gradient_444,gradient,T0,444,H19,gradient_444.H19,Control,DMSO,5,0.3379
gradient_444,gradient,T0,444,H20,gradient_444.H20,Control,DMSO,5,0.3544
gradient_444,gradient,T0,444,H21,gradient_444.H21,Control,DMSO,5,0.3446
gradient_444,gradient,T0,444,H22,gradient_444.H22,Experimental,BICUCULLINE(-) METHIODIDE,5,0.3446
gradient_444,gradient,T0,444,H23,gradient_444.H23,Experimental,RIBOFLAVIN,3.33333333333333,0.3564
gradient_444,gradient,T0,444,H24,gradient_444.H24,NA,NA,NA,0.3564
gradient_444,gradient,T0,444,I01,gradient_444.I01,NA,NA,NA,0.3309
gradient_444,gradient,T0,444,I02,gradient_444.I02,Experimental,DL-alpha-Methyl-p-tyrosine,1.66666666666667,0.3401
gradient_444,gradient,T0,444,I03,gradient_444.I03,Experimental,DL-alpha-Methyl-p-tyrosine,5,0.3472
gradient_444,gradient,T0,444,I04,gradient_444.I04,Control,DMSO,5,0.3512
gradient_444,gradient,T0,444,I05,gradient_444.I05,Control,DMSO,5,0.3432
gradient_444,gradient,T0,444,I06,gradient_444.I06,Control,DMSO,5,0.3664
gradient_444,gradient,T0,444,I07,gradient_444.I07,Experimental,BICUCULLINE (+),6.66666666666667,0.3423
gradient_444,gradient,T0,444,I08,gradient_444.I08,Experimental,Disulfiram,6.66666666666667,0.3389
gradient_444,gradient,T0,444,I09,gradient_444.I09,Control,DMSO,5,0.3353
gradient_444,gradient,T0,444,I10,gradient_444.I10,Control,DMSO,5,0.3449
gradient_444,gradient,T0,444,I11,gradient_444.I11,Control,DMSO,5,0.3429
gradient_444,gradient,T0,444,I12,gradient_444.I12,Experimental,Bicuculline (+),6.66666666666667,0.3691
gradient_444,gradient,T0,444,I13,gradient_444.I13,Experimental,PUERARIN,6.66666666666667,0.3755
gradient_444,gradient,T0,444,I14,gradient_444.I14,Experimental,GOSSYPETIN,5,0.3809
gradient_444,gradient,T0,444,I15,gradient_444.I15,Experimental,Pifithrin-mu,3.33333333333333,0.3701
gradient_444,gradient,T0,444,I16,gradient_444.I16,Control,DMSO,5,0.3407
gradient_444,gradient,T0,444,I17,gradient_444.I17,Control,DMSO,5,0.3363
gradient_444,gradient,T0,444,I18,gradient_444.I18,Experimental,Pifithrin-mu,5,0.3224
gradient_444,gradient,T0,444,I19,gradient_444.I19,Experimental,GENTIAN VIOLET,3.33333333333333,0.361
gradient_444,gradient,T0,444,I20,gradient_444.I20,Experimental,PUERARIN,1.66666666666667,0.3255
gradient_444,gradient,T0,444,I21,gradient_444.I21,Experimental,RIBOFLAVIN,5,0.3566
gradient_444,gradient,T0,444,I22,gradient_444.I22,Experimental,GOSSYPETIN,1.66666666666667,0.3358
gradient_444,gradient,T0,444,I23,gradient_444.I23,Control,DMSO,5,0.3354
gradient_444,gradient,T0,444,I24,gradient_444.I24,NA,NA,NA,0.3401
gradient_444,gradient,T0,444,J01,gradient_444.J01,NA,NA,NA,0.3355
gradient_444,gradient,T0,444,J02,gradient_444.J02,Control,DMSO,5,0.3292
gradient_444,gradient,T0,444,J03,gradient_444.J03,Control,DMSO,5,0.3279
gradient_444,gradient,T0,444,J04,gradient_444.J04,Control,DMSO,5,0.3318
gradient_444,gradient,T0,444,J05,gradient_444.J05,Control,DMSO,5,0.3364
gradient_444,gradient,T0,444,J06,gradient_444.J06,Control,DMSO,5,0.3292
gradient_444,gradient,T0,444,J07,gradient_444.J07,Control,DMSO,5,0.3333
gradient_444,gradient,T0,444,J08,gradient_444.J08,Control,DMSO,5,0.3243
gradient_444,gradient,T0,444,J09,gradient_444.J09,Experimental,IRIDIN,5,0.3204
gradient_444,gradient,T0,444,J10,gradient_444.J10,Control,DMSO,5,0.3203
gradient_444,gradient,T0,444,J11,gradient_444.J11,Control,DMSO,5,0.3217
gradient_444,gradient,T0,444,J12,gradient_444.J12,Control,DMSO,5,0.3197
gradient_444,gradient,T0,444,J13,gradient_444.J13,Control,DMSO,5,0.3274
gradient_444,gradient,T0,444,J14,gradient_444.J14,Control,DMSO,5,0.3208
gradient_444,gradient,T0,444,J15,gradient_444.J15,Experimental,Riboflavine,6.66666666666667,0.3627
gradient_444,gradient,T0,444,J16,gradient_444.J16,Experimental,PUERARIN,3.33333333333333,0.3407
gradient_444,gradient,T0,444,J17,gradient_444.J17,Experimental,Hymecromone,3.33333333333333,0.3194
gradient_444,gradient,T0,444,J18,gradient_444.J18,Experimental,Tunicamycin B,1.66666666666667,0.3299
gradient_444,gradient,T0,444,J19,gradient_444.J19,Control,DMSO,5,0.3273
gradient_444,gradient,T0,444,J20,gradient_444.J20,Control,DMSO,5,0.3395
gradient_444,gradient,T0,444,J21,gradient_444.J21,Control,DMSO,5,0.3317
gradient_444,gradient,T0,444,J22,gradient_444.J22,Control,DMSO,5,0.3313
gradient_444,gradient,T0,444,J23,gradient_444.J23,Control,DMSO,5,0.3323
gradient_444,gradient,T0,444,J24,gradient_444.J24,NA,NA,NA,0.3318
gradient_444,gradient,T0,444,K01,gradient_444.K01,NA,NA,NA,0.3326
gradient_444,gradient,T0,444,K02,gradient_444.K02,Experimental,THIMEROSAL,6.66666666666667,0.3359
gradient_444,gradient,T0,444,K03,gradient_444.K03,Experimental,GENTIAN VIOLET,6.66666666666667,0.3583
gradient_444,gradient,T0,444,K04,gradient_444.K04,Experimental,HYDRASTININE HYDROCHLORIDE,3.33333333333333,0.3551
gradient_444,gradient,T0,444,K05,gradient_444.K05,Control,DMSO,5,0.3682
gradient_444,gradient,T0,444,K06,gradient_444.K06,Control,DMSO,5,0.3347
gradient_444,gradient,T0,444,K07,gradient_444.K07,Experimental,BEPHENIUM HYDROXYNAPTHOATE,3.33333333333333,0.3887
gradient_444,gradient,T0,444,K08,gradient_444.K08,Control,DMSO,5,0.3772
gradient_444,gradient,T0,444,K09,gradient_444.K09,Control,DMSO,5,0.3603
gradient_444,gradient,T0,444,K10,gradient_444.K10,Control,DMSO,5,0.3234
gradient_444,gradient,T0,444,K11,gradient_444.K11,Experimental,HYDRASTININE HYDROCHLORIDE,5,0.3587
gradient_444,gradient,T0,444,K12,gradient_444.K12,Control,DMSO,5,0.3312
gradient_444,gradient,T0,444,K13,gradient_444.K13,Experimental,NAFCILLIN SODIUM,1.66666666666667,0.3729
gradient_444,gradient,T0,444,K14,gradient_444.K14,Control,DMSO,5,0.3738
gradient_444,gradient,T0,444,K15,gradient_444.K15,Control,DMSO,5,0.3348
gradient_444,gradient,T0,444,K16,gradient_444.K16,Experimental,PHENYLMERCURIC ACETATE,3.33333333333333,0.3546
gradient_444,gradient,T0,444,K17,gradient_444.K17,Experimental,Gliotoxin,3.33333333333333,0.3413
gradient_444,gradient,T0,444,K18,gradient_444.K18,Control,DMSO,5,0.329
gradient_444,gradient,T0,444,K19,gradient_444.K19,Control,DMSO,5,0.3314
gradient_444,gradient,T0,444,K20,gradient_444.K20,Control,DMSO,5,0.337
gradient_444,gradient,T0,444,K21,gradient_444.K21,Control,DMSO,5,0.3476
gradient_444,gradient,T0,444,K22,gradient_444.K22,Control,DMSO,5,0.3501
gradient_444,gradient,T0,444,K23,gradient_444.K23,Experimental,Tetraethylthiuram disulfide,1.66666666666667,0.3549
gradient_444,gradient,T0,444,K24,gradient_444.K24,NA,NA,NA,0.3473
gradient_444,gradient,T0,444,L01,gradient_444.L01,NA,NA,NA,0.333
gradient_444,gradient,T0,444,L02,gradient_444.L02,Experimental,Hydrastinine hydrochloride,6.66666666666667,0.322
gradient_444,gradient,T0,444,L03,gradient_444.L03,Control,DMSO,5,0.3241
gradient_444,gradient,T0,444,L04,gradient_444.L04,Control,DMSO,5,0.3332
gradient_444,gradient,T0,444,L05,gradient_444.L05,Control,DMSO,5,0.3205
gradient_444,gradient,T0,444,L06,gradient_444.L06,Control,DMSO,5,0.3234
gradient_444,gradient,T0,444,L07,gradient_444.L07,Control,DMSO,5,0.3203
gradient_444,gradient,T0,444,L08,gradient_444.L08,Control,DMSO,5,0.321
gradient_444,gradient,T0,444,L09,gradient_444.L09,Control,DMSO,5,0.3192
gradient_444,gradient,T0,444,L10,gradient_444.L10,Experimental,WB 64,3.33333333333333,0.3236
gradient_444,gradient,T0,444,L11,gradient_444.L11,Control,DMSO,5,0.3194
gradient_444,gradient,T0,444,L12,gradient_444.L12,Control,DMSO,5,0.3262
gradient_444,gradient,T0,444,L13,gradient_444.L13,Experimental,BEPHENIUM HYDROXYNAPTHOATE,5,0.3244
gradient_444,gradient,T0,444,L14,gradient_444.L14,Experimental,BICUCULLINE(-) METHIODIDE,6.66666666666667,0.3273
gradient_444,gradient,T0,444,L15,gradient_444.L15,Experimental,Riboflavine,1.66666666666667,0.332
gradient_444,gradient,T0,444,L16,gradient_444.L16,Control,DMSO,5,0.3607
gradient_444,gradient,T0,444,L17,gradient_444.L17,Experimental,THIMEROSAL,3.33333333333333,0.3244
gradient_444,gradient,T0,444,L18,gradient_444.L18,Control,DMSO,5,0.3258
gradient_444,gradient,T0,444,L19,gradient_444.L19,Control,DMSO,5,0.3323
gradient_444,gradient,T0,444,L20,gradient_444.L20,Control,DMSO,5,0.3415
gradient_444,gradient,T0,444,L21,gradient_444.L21,Control,DMSO,5,0.3396
gradient_444,gradient,T0,444,L22,gradient_444.L22,Control,DMSO,5,0.3251
gradient_444,gradient,T0,444,L23,gradient_444.L23,Experimental,WB 64,1.66666666666667,0.3344
gradient_444,gradient,T0,444,L24,gradient_444.L24,NA,NA,NA,0.3396
gradient_444,gradient,T0,444,M01,gradient_444.M01,NA,NA,NA,0.3352
gradient_444,gradient,T0,444,M02,gradient_444.M02,Control,DMSO,5,0.3324
gradient_444,gradient,T0,444,M03,gradient_444.M03,Control,DMSO,5,0.34
gradient_444,gradient,T0,444,M04,gradient_444.M04,Control,DMSO,5,0.3322
gradient_444,gradient,T0,444,M05,gradient_444.M05,Control,DMSO,5,0.3692
gradient_444,gradient,T0,444,M06,gradient_444.M06,Control,DMSO,5,0.3426
gradient_444,gradient,T0,444,M07,gradient_444.M07,Experimental,RIBOFLAVIN,6.66666666666667,0.4051
gradient_444,gradient,T0,444,M08,gradient_444.M08,Control,DMSO,5,0.3492
gradient_444,gradient,T0,444,M09,gradient_444.M09,Control,DMSO,5,0.3547
gradient_444,gradient,T0,444,M10,gradient_444.M10,Control,DMSO,5,0.3494
gradient_444,gradient,T0,444,M11,gradient_444.M11,Control,DMSO,5,0.3446
gradient_444,gradient,T0,444,M12,gradient_444.M12,Control,DMSO,5,0.3322
gradient_444,gradient,T0,444,M13,gradient_444.M13,Control,DMSO,5,0.3436
gradient_444,gradient,T0,444,M14,gradient_444.M14,Experimental,Hydrastinine hydrochloride,3.33333333333333,0.3564
gradient_444,gradient,T0,444,M15,gradient_444.M15,Experimental,COUMOPHOS,6.66666666666667,0.3378
gradient_444,gradient,T0,444,M16,gradient_444.M16,Control,DMSO,5,0.3323
