ID number,Source Plate&Well,384-Barcode,384-Well,384-Barcode&Well,Chemical name,Formula,MolWt,CAS number
Prestw-63,01G04,SL-000-1209,M07,SL-000-1209M07,Nifedipine,C17H18N2O6,346.34281,21829-25-4
Prestw-64,01G05,SL-000-1209,M09,SL-000-1209M09,Chlorpromazine hydrochloride,C17H20Cl2N2S,355.33235,69-09-0
Prestw-65,01G06,SL-000-1209,M11,SL-000-1209M11,Diphenhydramine hydrochloride,C17H22ClNO,291.82399,147-24-0
Prestw-66,01G07,SL-000-1209,M13,SL-000-1209M13,Minaprine dihydrochloride,C17H24Cl2N4O,371.31303,25953-17-7
Prestw-67,01G08,SL-000-1209,M15,SL-000-1209M15,Miconazole,C18H14Cl4N2O,416.13708,22916-47-8
Prestw-68,01G09,SL-000-1209,M17,SL-000-1209M17,Isoxsuprine hydrochloride,C18H24ClNO3,337.84988,579-56-6
Prestw-69,01G10,SL-000-1209,M19,SL-000-1209M19,Acebutolol hydrochloride,C18H29ClN2O4,372.89583,34381-68-5
Prestw-70,01G11,SL-000-1209,M21,SL-000-1209M21,Tolnaftate,C19H17NOS,307.41744,2398-96-1
Prestw-71,01H02,SL-000-1209,O03,SL-000-1209O03,Todralazine hydrochloride,C11H13ClN4O2,268.70486,3778-76-5
Prestw-72,01H03,SL-000-1209,O05,SL-000-1209O05,Imipramine hydrochloride,C19H25ClN2,316.8775,113-52-0
Prestw-73,01H04,SL-000-1209,O07,SL-000-1209O07,Sulindac,C20H17FO3S,356.41909,38194-50-2
Prestw-74,01H05,SL-000-1209,O09,SL-000-1209O09,Amitryptiline hydrochloride,C20H24ClN,313.87398,549-18-8
Prestw-75,01H06,SL-000-1209,O11,SL-000-1209O11,Adiphenine hydrochloride,C20H26ClNO2,347.88872,50-42-0
Prestw-76,01H07,SL-000-1209,O13,SL-000-1209O13,Dibucaine,C20H29N3O2,343.47303,85-79-0
Prestw-77,01H08,SL-000-1209,O15,SL-000-1209O15,Prednisone,C21H26O5,358.43837,53-03-2
Prestw-78,01H09,SL-000-1209,O17,SL-000-1209O17,Thioridazine hydrochloride,C21H27ClN2S2,407.04374,130-61-0
Prestw-79,01H10,SL-000-1209,O19,SL-000-1209O19,Diphemanil methylsulfate,C21H27NO4S,389.51764,62-97-5
Prestw-80,01H11,SL-000-1209,O21,SL-000-1209O21,Trimethobenzamide hydrochloride,C21H29ClN2O5,424.92868,554-92-7
Prestw-81,02A02,SL-000-1209,A04,SL-000-1209A04,Metronidazole,C6H9N3O3,171.15693,443-48-1
Prestw-82,02A03,SL-000-1209,A06,SL-000-1209A06,Cotinine (-),C10H12N2O,176.21994,486-56-6
Prestw-83,02A04,SL-000-1209,A08,SL-000-1209A08,Edrophonium chloride,C10H16ClNO,201.69812,116-38-1
Prestw-84,02A05,SL-000-1209,A10,SL-000-1209A10,Moroxidine hydrochloride,C6H14ClN5O,207.66438,3160-91-6
Prestw-85,02A06,SL-000-1209,A12,SL-000-1209A12,"Baclofen (R,S)",C10H12ClNO2,213.66564,1134-47-0
Prestw-86,02A07,SL-000-1209,A14,SL-000-1209A14,Acyclovir,C8H11N5O3,225.20857,59277-89-3
Prestw-87,02A08,SL-000-1209,A16,SL-000-1209A16,Diazoxide,C8H7ClN2O2S,230.67419,364-98-7
Prestw-88,02A09,SL-000-1209,A18,SL-000-1209A18,Amidopyrine,C13H17N3O,231.29994,58-15-1
Prestw-89,02A10,SL-000-1209,A20,SL-000-1209A20,Ursolic acid,C30H48O3,456.71526,77-52-1
Prestw-90,02A11,SL-000-1209,A22,SL-000-1209A22,Pindolol,C14H20N2O2,248.3277,13523-86-9
Prestw-91,02B02,SL-000-1209,C04,SL-000-1209C04,Khellin,C14H12O5,260.24874,82-02-0
Prestw-92,02B03,SL-000-1209,C06,SL-000-1209C06,Zimelidine dihydrochloride monohydrate,C16H21BrCl2N2O,408.16857,61129-30-4
Prestw-93,02B04,SL-000-1209,C08,SL-000-1209C08,Azacyclonol,C18H21NO,267.37417,115-46-8
Prestw-94,02B05,SL-000-1209,C10,SL-000-1209C10,Azathioprine,C9H7N7O2S,277.26584,446-86-6
Prestw-95,02B06,SL-000-1209,C12,SL-000-1209C12,Lynestrenol,C20H28O,284.44556,52-76-6
Prestw-96,02B07,SL-000-1209,C14,SL-000-1209C14,Guanabenz acetate,C10H12Cl2N4O2,291.13874,23256-50-0
Prestw-97,02B08,SL-000-1209,C16,SL-000-1209C16,Disulfiram,C10H20N2S4,296.5403,97-77-8
Prestw-98,02B09,SL-000-1209,C18,SL-000-1209C18,Acetylsalicylsalicylic acid,C16H12O6,300.27044,530-75-6
Prestw-99,02B10,SL-000-1209,C20,SL-000-1209C20,Mianserine hydrochloride,C18H21ClN2,300.83447,21535-47-7
Prestw-100,02B11,SL-000-1209,C22,SL-000-1209C22,Nocodazole,C14H11N3O3S,301.32607,31430-18-9
Prestw-101,02C02,SL-000-1209,E04,SL-000-1209E04,R(-) Apomorphine hydrochloride hemihydrate,C34H38Cl2N2O5,625.59836,41372-20-7
Prestw-102,02C03,SL-000-1209,E06,SL-000-1209E06,Amoxapine,C17H16ClN3O,313.78957,14028-44-5
Prestw-103,02C04,SL-000-1209,E08,SL-000-1209E08,Cyproheptadine hydrochloride,C21H22ClN,323.86919,969-33-5
Prestw-104,02C05,SL-000-1209,E10,SL-000-1209E10,Famotidine,C8H15N7O2S3,337.44645,76824-35-6
Prestw-105,02C06,SL-000-1209,E12,SL-000-1209E12,Danazol,C22H27NO2,337.46599,17230-88-5
Prestw-106,02C07,SL-000-1209,E14,SL-000-1209E14,Nicorandil,C8H9N3O4,211.17863,65141-46-0
Prestw-107,02C08,SL-000-1209,E16,SL-000-1209E16,Tomatine,C50H83NO21,1034.21311,17406-45-0
Prestw-108,02C09,SL-000-1209,E18,SL-000-1209E18,Nomifensine maleate,C20H22N2O4,354.40934,32795-47-4
Prestw-109,02C10,SL-000-1209,E20,SL-000-1209E20,Dizocilpine maleate,C20H19NO4,337.37873,77086-22-7
Prestw-110,02C11,SL-000-1209,E22,SL-000-1209E22,Acenocoumarol,C19H15NO6,353.3345,152-72-7
Prestw-111,02D02,SL-000-1209,G04,SL-000-1209G04,Naloxone hydrochloride,C19H22ClNO4,363.84449,357-08-4
Prestw-112,02D03,SL-000-1209,G06,SL-000-1209G06,Metolazone,C16H16ClN3O3S,365.84122,17560-51-9
Prestw-113,02D04,SL-000-1209,G08,SL-000-1209G08,Ciprofloxacin hydrochloride,C17H21ClFN3O4,385.82602,93107-08-5
Prestw-114,02D05,SL-000-1209,G10,SL-000-1209G10,Ampicillin trihydrate,C16H25N3O7S,403.45755,7177-48-2
Prestw-115,02D06,SL-000-1209,G12,SL-000-1209G12,Haloperidol,C21H23ClFNO2,375.87436,52-86-8
Prestw-116,02D07,SL-000-1209,G14,SL-000-1209G14,Naltrexone hydrochloride dihydrate,C20H28ClNO6,413.90226,16676-29-2
Prestw-117,02D08,SL-000-1209,G16,SL-000-1209G16,Chlorpheniramine maleate,C20H23ClN2O4,390.87031,113-92-8
Prestw-118,02D09,SL-000-1209,G18,SL-000-1209G18,Nalbuphine hydrochloride,C21H28ClNO4,393.91461,23277-43-2
Prestw-119,02D10,SL-000-1209,G20,SL-000-1209G20,Picotamide monohydrate,C21H22N4O4,394.43389,80530-63-8
Prestw-120,02D11,SL-000-1209,G22,SL-000-1209G22,Triamcinolone,C21H27FO6,394.44414,124-94-7
Prestw-121,02E02,SL-000-1209,I04,SL-000-1209I04,Bromocryptine mesylate,C33H44BrN5O8S,750.71533,22260-51-1
Prestw-122,02E03,SL-000-1209,I06,SL-000-1209I06,Metanephrine hydrochloride DL,C10H16ClNO3,233.69692,881-95-8
Prestw-123,02E04,SL-000-1209,I08,SL-000-1209I08,Dehydrocholic acid,C24H34O5,402.53558,81-23-2
Prestw-124,02E05,SL-000-1209,I10,SL-000-1209I10,Hesperetin,C16H14O6,302.28638,520-33-2
Prestw-125,02E06,SL-000-1209,I12,SL-000-1209I12,Perphenazine,C21H26ClN3OS,403.97787,58-39-9
Prestw-126,02E07,SL-000-1209,I14,SL-000-1209I14,Mefloquine hydrochloride,C17H17ClF6N2O,414.78124,51773-92-3
Prestw-127,02E08,SL-000-1209,I16,SL-000-1209I16,Isoconazole,C18H14Cl4N2O,416.13708,27523-40-6
Prestw-128,02E09,SL-000-1209,I18,SL-000-1209I18,Spironolactone,C24H32O4S,416.58424,52-01-7
Prestw-129,02E10,SL-000-1209,I20,SL-000-1209I20,Pirenzepine dihydrochloride,C19H23Cl2N5O2,424.33346,29868-97-1
Prestw-130,02E11,SL-000-1209,I22,SL-000-1209I22,Dexamethasone acetate,C24H31FO6,434.50947,1177-87-3
Prestw-131,02F02,SL-000-1209,K04,SL-000-1209K04,Glipizide,C21H27N5O4S,445.54444,29094-61-9
Prestw-132,02F03,SL-000-1209,K06,SL-000-1209K06,Loxapine succinate,C22H24ClN3O5,445.90668,27833-64-3
Prestw-133,02F04,SL-000-1209,K08,SL-000-1209K08,Hydroxyzine dihydrochloride,C21H29Cl3N2O2,447.83648,2192-20-3
Prestw-134,02F05,SL-000-1209,K10,SL-000-1209K10,Diltiazem hydrochloride,C22H27ClN2O4S,450.98849,33286-22-5
Prestw-135,02F06,SL-000-1209,K12,SL-000-1209K12,Methotrexate,C20H22N8O5,454.44894,59-05-2
Prestw-136,02F07,SL-000-1209,K14,SL-000-1209K14,Astemizole,C28H31FN4O,458.58387,68844-77-9
Prestw-137,02F08,SL-000-1209,K16,SL-000-1209K16,Clindamycin hydrochloride,C18H34Cl2N2O5S,461.45208,21462-39-5
Prestw-138,02F09,SL-000-1209,K18,SL-000-1209K18,Terfenadine,C32H41NO2,471.68907,50679-08-8
Prestw-139,02F10,SL-000-1209,K20,SL-000-1209K20,Cefotaxime sodium salt,C16H16N5NaO7S2,477.45302,64485-93-4
Prestw-140,02F11,SL-000-1209,K22,SL-000-1209K22,Tetracycline hydrochloride,C22H25ClN2O8,480.90615,64-75-5
Prestw-141,02G02,SL-000-1209,M04,SL-000-1209M04,Verapamyl hydrochloride,C27H39ClN2O4,491.07588,152-11-4
Prestw-142,02G03,SL-000-1209,M06,SL-000-1209M06,Dipyridamole,C24H40N8O4,504.6376,58-32-2
Prestw-143,02G04,SL-000-1209,M08,SL-000-1209M08,Chlorhexidine,C22H30Cl2N10,505.4574,55-56-1
Prestw-144,02G05,SL-000-1209,M10,SL-000-1209M10,Loperamide hydrochloride,C29H34Cl2N2O2,513.51253,34552-83-5
Prestw-145,02G06,SL-000-1209,M12,SL-000-1209M12,Chlortetracycline hydrochloride,C22H24Cl2N2O8,515.35118,64-72-2
Prestw-146,02G07,SL-000-1209,M14,SL-000-1209M14,Tamoxifen citrate,C32H37NO8,563.65359,54965-24-1
Prestw-147,02G08,SL-000-1209,M16,SL-000-1209M16,Nicergoline,C24H26BrN3O3,484.39712,not available
Prestw-148,02G09,SL-000-1209,M18,SL-000-1209M18,Canrenoic acid potassium salt,C22H29KO4,396.57603,2181-04-6
Prestw-149,02G10,SL-000-1209,M20,SL-000-1209M20,Thioproperazine dimesylate,C24H38N4O8S4,638.84846,2347-80-0
Prestw-150,02G11,SL-000-1209,M22,SL-000-1209M22,Dihydroergotamine tartrate,C70H80N10O16,1317.4755,5989-77-5
Prestw-151,02H02,SL-000-1209,O04,SL-000-1209O04,Erythromycin,C37H67NO13,733.94544,114-07-8
Prestw-152,02H03,SL-000-1209,O06,SL-000-1209O06,Oleandomycin phosphate,C35H64NO16P,785.87123,7060-74-4
Prestw-153,02H04,SL-000-1209,O08,SL-000-1209O08,Midecamycin,C41H67NO15,813.98884,35457-80-8
Prestw-154,02H05,SL-000-1209,O10,SL-000-1209O10,Josamycin,C42H69NO15,828.01593,16846-24-5
Prestw-155,02H06,SL-000-1209,O12,SL-000-1209O12,Paclitaxel,C47H51NO14,853.92882,33069-62-4
Prestw-156,02H07,SL-000-1209,O14,SL-000-1209O14,Ivermectin,C48H74O14,875.11658,70288-86-7
Prestw-157,02H08,SL-000-1209,O16,SL-000-1209O16,Gallamine triethiodide,C30H60I3N3O3,891.5442,65-29-2
Prestw-158,02H09,SL-000-1209,O18,SL-000-1209O18,Neomycin sulfate,C23H48N6O17S,712.73301,1405-10-3
Prestw-159,02H10,SL-000-1209,O20,SL-000-1209O20,Dihydrostreptomycin sulfate,C42H88N14O36S3,1461.43386,5490-27-7
Prestw-160,02H11,SL-000-1209,O22,SL-000-1209O22,Gentamicine sulfate,C60H125N15O25S,1488.81475,1405-41-0
Prestw-161,03A02,SL-000-1209,B03,SL-000-1209B03,Isoniazid,C6H7N3O,137.14219,54-85-3
Prestw-162,03A03,SL-000-1209,B05,SL-000-1209B05,Pentylenetetrazole,C6H10N4,138.1734,54-95-5
Prestw-163,03A04,SL-000-1209,B07,SL-000-1209B07,Chlorzoxazone,C7H4ClNO2,169.56843,95-25-0
Prestw-164,03A05,SL-000-1209,B09,SL-000-1209B09,Ornidazole,C7H10ClN3O3,219.62905,16773-42-5
Prestw-165,03A06,SL-000-1209,B11,SL-000-1209B11,Ethosuximide,C7H11NO2,141.17122,77-67-8
Prestw-166,03A07,SL-000-1209,B13,SL-000-1209B13,Mafenide hydrochloride,C7H11ClN2O2S,222.69492,138-37-4
Prestw-167,03A08,SL-000-1209,B15,SL-000-1209B15,Riluzole hydrochloride,C8H6ClF3N2OS,270.66202,not available
Prestw-168,03A09,SL-000-1209,B17,SL-000-1209B17,Nitrofurantoin,C8H6N4O5,238.16082,67-20-9
Prestw-169,03A10,SL-000-1209,B19,SL-000-1209B19,Hydralazine hydrochloride,C8H9ClN4,196.64073,304-20-1
Prestw-170,03A11,SL-000-1209,B21,SL-000-1209B21,Phenelzine sulfate,C8H14N2O4S,234.27578,156-51-4
Prestw-171,03B02,SL-000-1209,D03,SL-000-1209D03,Tranexamic acid,C8H15NO2,157.21425,1197-18-8
Prestw-172,03B03,SL-000-1209,D05,SL-000-1209D05,Etofylline,C9H12N4O3,224.22099,519-37-9
Prestw-173,03B04,SL-000-1209,D07,SL-000-1209D07,Tranylcypromine hydrochloride,C9H12ClN,169.65569,1986-47-6
Prestw-174,03B05,SL-000-1209,D09,SL-000-1209D09,Alverine citrate salt,C26H35NO7,473.57135,5560-59-8
Prestw-175,03B06,SL-000-1209,D11,SL-000-1209D11,Aceclofenac,C16H13Cl2NO4,354.19231,89796-99-6
Prestw-176,03B07,SL-000-1209,D13,SL-000-1209D13,Iproniazide phosphate,C9H16N3O5P,277.21877,305-33-9
Prestw-177,03B08,SL-000-1209,D15,SL-000-1209D15,Sulfamethoxazole,C10H11N3O3S,253.28147,723-46-6
Prestw-178,03B09,SL-000-1209,D17,SL-000-1209D17,Mephenesin,C10H14O3,182.22128,59-47-2
Prestw-179,03B10,SL-000-1209,D19,SL-000-1209D19,Phenformin hydrochloride,C10H16ClN5,241.72552,834-28-6
Prestw-180,03B11,SL-000-1209,D21,SL-000-1209D21,Flutamide,C11H11F3N2O3,276.21712,13311-84-7
Prestw-181,03C02,SL-000-1209,F03,SL-000-1209F03,Ampyrone,C11H13N3O,203.24576,83-07-8
Prestw-182,03C03,SL-000-1209,F05,SL-000-1209F05,Levamisole hydrochloride,C11H13ClN2S,240.75666,16595-80-5
Prestw-183,03C04,SL-000-1209,F07,SL-000-1209F07,Pargyline hydrochloride,C11H14ClN,195.69393,306-07-0
Prestw-184,03C05,SL-000-1209,F09,SL-000-1209F09,Methocarbamol,C11H15NO5,241.2459,532-03-6
Prestw-185,03C06,SL-000-1209,F11,SL-000-1209F11,Aztreonam,C13H17N5O8S2,435.43714,78110-38-0
Prestw-186,03C07,SL-000-1209,F13,SL-000-1209F13,Cloxacillin sodium salt,C19H17ClN3NaO5S,457.87124,642-78-4
Prestw-187,03C08,SL-000-1209,F15,SL-000-1209F15,Nalidixic acid sodium salt hydrate,C12H13N2NaO4,272.23821,not available
Prestw-188,03C09,SL-000-1209,F17,SL-000-1209F17,Pentolinium bitartrate,C23H42N2O12,538.59739,52-62-0
Prestw-189,03C10,SL-000-1209,F19,SL-000-1209F19,"Aminopurine, 6-benzyl",C12H11N5,225.25497,1214-39-7
Prestw-190,03C11,SL-000-1209,F21,SL-000-1209F21,Tolbutamide,C12H18N2O3S,270.35286,64-77-7
Prestw-191,03D02,SL-000-1209,H03,SL-000-1209H03,Midodrine hydrochloride,C12H19ClN2O4,290.74923,3092-17-9
Prestw-192,03D03,SL-000-1209,H05,SL-000-1209H05,Thalidomide,C13H10N2O4,258.23565,50-35-1
Prestw-193,03D04,SL-000-1209,H07,SL-000-1209H07,Oxolinic acid,C13H11NO5,261.23632,14698-29-4
Prestw-194,03D05,SL-000-1209,H09,SL-000-1209H09,Nimesulide,C13H12N2O5S,308.31499,51803-78-2
Prestw-195,03D06,SL-000-1209,H11,SL-000-1209H11,Hydrastinine hydrochloride,C11H12ClNO2,225.67679,4884-68-8
Prestw-196,03D07,SL-000-1209,H13,SL-000-1209H13,Pentoxifylline,C13H18N4O3,278.31341,6493-05-6
Prestw-197,03D08,SL-000-1209,H15,SL-000-1209H15,Metaraminol bitartrate,C17H25NO14,467.3871,33402-03-8
Prestw-198,03D09,SL-000-1209,H17,SL-000-1209H17,Salbutamol,C13H21NO3,239.31722,18559-94-9
Prestw-199,03D10,SL-000-1209,H19,SL-000-1209H19,Prilocaine hydrochloride,C13H21ClN2O,256.77812,1786-81-8
Prestw-200,03D11,SL-000-1209,H21,SL-000-1209H21,"Camptothecine (S,+)",C20H16N2O4,348.36152,7689-03-4
Prestw-201,03E02,SL-000-1209,J03,SL-000-1209J03,Ranitidine hydrochloride,C13H23ClN4O3S,350.87026,66357-59-3
Prestw-202,03E03,SL-000-1209,J05,SL-000-1209J05,"Tiratricol, 3,3',5-triiodothyroacetic acid",C14H9I3O4,621.93863,51-24-1
Prestw-203,03E04,SL-000-1209,J07,SL-000-1209J07,Flufenamic acid,C14H10F3NO2,281.2365,530-78-9
Prestw-204,03E05,SL-000-1209,J09,SL-000-1209J09,Flumequine,C14H12FNO3,261.25504,42835-25-6
Prestw-205,03E06,SL-000-1209,J11,SL-000-1209J11,Tolfenamic acid,C14H12ClNO2,261.71024,13710-19-5
Prestw-206,03E07,SL-000-1209,J13,SL-000-1209J13,Meclofenamic acid sodium salt monohydrate,C14H12Cl2NNaO3,336.15244,6385-02-0
Prestw-207,03E08,SL-000-1209,J15,SL-000-1209J15,Kawain,C14H14O3,230.26588,500-64-1
Prestw-208,03E09,SL-000-1209,J17,SL-000-1209J17,Trimethoprim ,C14H18N4O3,290.32456,738-70-5
Prestw-209,03E10,SL-000-1209,J19,SL-000-1209J19,Metoclopramide monohydrochloride,C14H23Cl2N3O2,336.26431,7232-21-5
Prestw-210,03E11,SL-000-1209,J21,SL-000-1209J21,Fenbendazole,C15H13N3O2S,299.35376,43210-67-9
Prestw-211,03F02,SL-000-1209,L03,SL-000-1209L03,Piroxicam,C15H13N3O4S,331.35256,36322-90-4
Prestw-212,03F03,SL-000-1209,L05,SL-000-1209L05,Pyrantel tartrate,C15H20N2O6S,356.40045,33401-94-4
Prestw-213,03F04,SL-000-1209,L07,SL-000-1209L07,Fenspiride hydrochloride,C15H21ClN2O2,296.79982,5053-08-7
Prestw-214,03F05,SL-000-1209,L09,SL-000-1209L09,Gemfibrozil,C15H22O3,250.34079,25812-30-0
Prestw-215,03F06,SL-000-1209,L11,SL-000-1209L11,Mefexamide hydrochloride,C15H25ClN2O3,316.8311,3413-64-7
Prestw-216,03F07,SL-000-1209,L13,SL-000-1209L13,Tiapride hydrochloride,C15H25ClN2O4S,364.8945,51012-33-0
Prestw-217,03F08,SL-000-1209,L15,SL-000-1209L15,Mebendazole,C16H13N3O3,295.30031,31431-39-7
Prestw-218,03F09,SL-000-1209,L17,SL-000-1209L17,Fenbufen,C16H14O3,254.28818,36330-85-5
